date,APPLE,IBM,MICROSOFT,SALESFORCE,VISA
2018-10-17,53.426846,107.938171,106.375435,147.009995,139.339752
2018-10-18,52.17807,105.119934,104.251968,142.839996,136.248718
2018-10-19,52.972736,103.952377,104.405708,140.490005,137.021515
2018-10-22,53.29641,104.693176,105.337723,142.949997,137.569229
2018-10-23,53.798817,105.651382,103.867638,140.660004,136.082428
2018-10-24,51.953426,102.430542,98.313927,133.259995,131.328552
2018-10-25,53.091099,101.818573,104.059814,140.800003,137.451889
2018-10-26,52.245697,100.481941,102.77227,135.520004,134.732559
2018-10-29,51.265038,96.335129,99.784012,130.990005,131.397034
2018-10-30,51.521072,92.921028,99.668732,132.169998,129.861267
2018-10-31,52.864044,92.94519,102.628128,137.240005,134.840164
2018-11-01,53.675632,94.072472,101.77298,139.589996,137.755112
2018-11-02,50.115292,93.138443,102.003593,136.789993,136.727997
2018-11-05,48.692604,96.673302,103.300728,135.440002,136.747574
2018-11-06,49.21917,99.137238,103.502518,133.949997,137.715973
2018-11-07,50.711903,100.522209,107.576508,141.789993,141.618866
2018-11-08,50.534958,100.611908,107.374725,141.869995,142.059021
2018-11-09,49.560574,100.742378,105.280075,136.919998,140.787415
2018-11-12,47.064007,98.589561,102.685783,130.5,136.669342
2018-11-13,46.593765,98.540619,102.753036,132.160004,136.669342
2018-11-14,45.277626,98.018723,101.295898,129.350006,136.444366
2018-11-15,46.39502,99.029892,103.525047,132.490005,138.992157
2018-11-16,46.908875,99.135925,104.499687,132.550003,137.365463
2018-11-19,45.04977,98.108429,100.958153,121.010002,132.054291
2018-11-20,42.897396,95.572342,98.150002,120.669998,130.6922
2018-11-21,42.848911,96.689529,99.501015,123.589996,131.72113
2018-11-23,41.760601,95.564194,99.462402,122.029999,130.202286
2018-11-26,42.325359,97.496819,102.743393,126.410004,133.210632
2018-11-27,42.233265,97.880096,103.389931,127.540001,133.181213
2018-11-28,43.857239,100.302025,107.230644,140.639999,138.541397
2018-11-29,43.520325,99.062508,106.333199,139.720001,136.307175
2018-11-30,43.285206,101.337654,107.008705,142.759995,138.864807
2018-12-03,44.797699,102.185753,108.166687,144.149994,142.088715
2018-12-04,42.827099,99.160378,104.721642,139.240005,135.8564
2018-12-06,42.349606,101.044098,105.368202,142.059998,138.218048
2018-12-07,40.839539,97.317421,101.151146,135.949997,134.357132
2018-12-10,41.108589,98.777107,103.824196,137.270004,135.111664
2018-12-11,40.873478,98.58139,104.789192,136.789993,134.063171
2018-12-12,40.987392,98.801567,105.262047,140.089996,135.033264
2018-12-13,41.43581,98.450935,105.61908,141.139999,134.778488
2018-12-14,40.109959,97.774094,102.318802,137.039993,132.377655
2018-12-17,39.736687,94.675331,99.288704,130.830002,128.761749
2018-12-18,40.252964,95.123833,100.330902,132.320007,129.99646
2018-12-19,38.997414,94.944427,100.060707,131.160004,128.624588
2018-12-20,38.013313,92.163696,97.957008,127.730003,126.174774
2018-12-21,36.534775,90.467529,94.791817,122.910004,121.765129
2018-12-24,35.589478,87.719414,90.835312,121.330002,119.285934
2018-12-26,38.09573,90.83448,97.040253,130.839996,127.615257
2018-12-27,37.848492,92.783447,97.638557,135.199997,129.359543
2018-12-28,37.867897,92.171844,96.876205,134.679993,128.311005
2018-12-31,38.233891,92.693741,98.0149,136.970001,129.290939
2019-01-02,38.277523,93.94957,97.580658,135.550003,130.251266
2019-01-03,34.46479,92.07399,93.990852,130.399994,125.557449
2019-01-04,35.936081,95.670174,98.362312,137.960007,130.966599
2019-01-07,35.856091,96.347008,98.487747,142.220001,133.328201
2019-01-08,36.539623,97.717003,99.201859,145.720001,134.053375
2019-01-09,37.160126,98.418297,100.620399,145.990005,135.631027
2019-01-10,37.278889,99.315308,99.973846,147.039993,135.885834
2019-01-11,36.912888,99.046211,99.201859,147.550003,135.288055
2019-01-14,36.357826,98.17366,98.478111,146.050003,134.347351
